"Row ID","Order ID","Order Date","Order Priority","Order Quantity",Sales,Discount,"Ship Mode",Profit,"Unit Price","Shipping Cost","Customer Name",Province,Region,"Customer Segment","Product Category","Product Sub-Category","Product Name","Product Container","Product Base Margin","Ship Date"
7733,55392,2009-06-06,Critical,20,129.3,0.02,"Regular Air",40.2,6.47,1.22,"Christy Brittain",Ontario,Ontario,Consumer,"Office Supplies","Pens & Art Supplies","Staples Pen Style Liquid Stix Assorted (yellow. pink. green. blue. orange). 5/Pack","Wrap Bag",0.4,2009-06-07
7421,52929,2011-04-08,High,7,46.94,0.02,"Regular Air",7.34,6.47,1.22,"Muhammed MacIntyre","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Pens & Art Supplies","Staples Pen Style Liquid Stix Assorted (yellow. pink. green. blue. orange). 5/Pack","Wrap Bag",0.4,2011-04-09
7486,53443,2011-10-08,Critical,22,148.8,0.04,"Regular Air",52.08,6.47,1.22,"Jenna Caffey",Alberta,West,Consumer,"Office Supplies","Pens & Art Supplies","Staples Pen Style Liquid Stix Assorted (yellow. pink. green. blue. orange). 5/Pack","Wrap Bag",0.4,2011-10-09
1593,11493,2011-10-20,Critical,16,111.9,0.01,"Regular Air",38.03,6.47,1.22,"Dennis Bolton",Ontario,Ontario,"Small Business","Office Supplies","Pens & Art Supplies","Staples Pen Style Liquid Stix Assorted (yellow. pink. green. blue. orange). 5/Pack","Wrap Bag",0.4,2011-10-22
1639,11843,2009-07-17,Medium,9,1059.3,0.05,"Regular Air",67.6,115.79,1.99,"Cindy Chapman",Yukon,Yukon,Consumer,Technology,"Computer Peripherals","Verbatim DVD-R. 4.7GB. Spindle. WE. Blank. Ink Jet/Thermal. 20/Spindle","Small Pack",0.49,2009-07-19
10,65,2011-03-17,Critical,32,3812.73,0.02,"Regular Air",1470.3,115.79,1.99,"Tamara Dahlen",Ontario,Ontario,Corporate,Technology,"Computer Peripherals","Verbatim DVD-R. 4.7GB. Spindle. WE. Blank. Ink Jet/Thermal. 20/Spindle","Small Pack",0.49,2011-03-18
3825,27266,2011-09-08,Critical,9,1031.06,0.03,"Regular Air",39.36,115.79,1.99,"Art Ferguson","Nova Scotia",Atlantic,Corporate,Technology,"Computer Peripherals","Verbatim DVD-R. 4.7GB. Spindle. WE. Blank. Ink Jet/Thermal. 20/Spindle","Small Pack",0.49,2011-09-11
5413,38498,2012-04-27,Critical,30,3295.15,0.07,"Regular Air",1070.18,115.79,1.99,"Grant Carroll",Ontario,Ontario,Corporate,Technology,"Computer Peripherals","Verbatim DVD-R. 4.7GB. Spindle. WE. Blank. Ink Jet/Thermal. 20/Spindle","Small Pack",0.49,2012-04-29
4397,31302,2012-08-01,High,41,4648.64,0.04,"Regular Air",1777.67,115.79,1.99,"Jim Epp","New Brunswick",Atlantic,"Small Business",Technology,"Computer Peripherals","Verbatim DVD-R. 4.7GB. Spindle. WE. Blank. Ink Jet/Thermal. 20/Spindle","Small Pack",0.49,2012-08-03
1553,11206,2009-12-28,Low,6,177.67,0.03,"Regular Air",39.63,28.53,1.49,"Eric Barreto",Newfoundland,Atlantic,"Small Business","Office Supplies","Binders and Binder Accessories","Lock-Up Easel 'Spel-Binder'","Small Box",0.38,2010-01-01
2964,21442,2009-12-25,Low,48,2962.96,0.02,"Delivery Truck",-612.94,58.14,36.61,"Thea Hudgings",Manitoba,Prarie,Consumer,Furniture,Bookcases,"O'Sullivan 3-Shelf Heavy-Duty Bookcases","Jumbo Box",0.61,2010-01-01
2965,21442,2009-12-25,Low,48,782.93,0.03,"Regular Air",401.07,15.57,1.39,"Thea Hudgings",Manitoba,Prarie,Consumer,"Office Supplies",Envelopes,"Park Ridge?Embossed Executive Business Envelopes","Small Box",0.38,2010-01-01
1627,11777,2009-12-25,Low,39,651.45,0.07,"Regular Air",-160.56,17.7,9.47,"Jack O'Briant",Saskachewan,Prarie,Consumer,"Office Supplies","Storage & Organization","Portfile?Personal File Boxes","Small Box",0.59,2010-01-01
3962,28262,2010-12-31,Medium,26,299.11,0.05,"Regular Air",40.03,11.34,5.01,"Brooke Gillingham",Alberta,West,"Small Business","Office Supplies",Paper,"Xerox 188","Small Box",0.36,2011-01-01
475,3271,2011-12-31,Critical,18,146.1,0.06,"Express Air",51.14,8.34,1.43,"Joni Blumstein",Ontario,Ontario,"Home Office","Office Supplies",Paper,"REDIFORM Incoming/Outgoing Call Register. 11" X 8 1/2". 100 Messages","Wrap Bag",0.35,2012-01-01
8197,58626,2011-12-30,High,23,6641.14,0.05,"Delivery Truck",673.77,300.98,64.73,"Henry Goldwyn","Prince Edward Island",Atlantic,"Small Business",Furniture,"Chairs & Chairmats","Global Leather and Oak Executive Chair. Black","Jumbo Drum",0.56,2012-01-01
4178,29666,2011-12-30,"Not Specified",44,362.75,0.08,"Regular Air",-54.47,8.32,2.38,"Dave Poirier",Ontario,Ontario,"Small Business",Technology,"Computer Peripherals","Imation 3.5 IBM Formatted Diskettes. 10/Box","Small Pack",0.74,2012-01-01
5279,37543,2011-12-31,Medium,6,241.85,0.01,"Regular Air",-4.5,36.55,13.89,"Ed Braxton",Yukon,Yukon,"Home Office","Office Supplies","Pens & Art Supplies","Dixon Ticonderoga Core-Lock Colored Pencils. 48-Color Set","Wrap Bag",0.41,2012-01-01
2333,16805,2011-12-30,Low,29,852.75,0.08,"Regular Air",358.73,30.44,1.49,"Alice McCarthy",Alberta,West,Corporate,"Office Supplies","Binders and Binder Accessories","Premier Elliptical Ring Binder. Black","Small Box",0.37,2012-01-01
3073,22051,2011-12-30,"Not Specified",39,209.33,0.01,"Regular Air",-160.71,4.98,7.44,"Michael Moore",Manitoba,Prarie,Corporate,"Office Supplies",Paper,"Xerox 1922","Small Box",0.36,2012-01-01
2334,16805,2011-12-30,Low,26,172.33,0.04,"Regular Air",-52.21,6.48,5.74,"Alice McCarthy",Alberta,West,Corporate,"Office Supplies",Paper,"Xerox 1994","Small Box",0.37,2012-01-01
735,5316,2009-01-30,Critical,42,1285.37,0.1,"Regular Air",514.07,31.78,1.99,"Clay Rozendal",Nunavut,Nunavut,Corporate,Technology,"Computer Peripherals","Memorex 4.7GB DVD-RAM. 3/Pack","Small Pack",0.42,2009-02-01
7357,52416,2009-01-31,"Not Specified",40,9141.64,0.04,"Delivery Truck",-528.65,218.75,69.64,"Dave Brooks",Ontario,Ontario,Corporate,Furniture,Tables,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables","Jumbo Box",0.72,2009-02-01
2840,20480,2009-01-29,Medium,38,16147.6,0.02,"Regular Air",7604.95,420.98,19.99,"Liz MacKendrick","New Brunswick",Atlantic,Corporate,"Office Supplies","Binders and Binder Accessories","GBC DocuBind 200 Manual Binding Machine","Small Box",0.35,2009-02-01
